Size,DataType,ThreadPercentage,Time(s),Memory(MB),Repetition
64,short,10,0.0717,0.02,1
64,short,10.00,0.0730,0.02,2
64,short,10.00,0.0849,0.02,3
64,short,10.00,0.0754,0.02,4
64,short,10.00,0.0755,0.02,5
64,short,10.00,0.0761,0.02,promedio
64,long,10.00,0.1311,0.09,1
64,long,10.00,0.1008,0.09,2
64,long,10.00,0.1014,0.09,3
64,long,10.00,0.1015,0.09,4
64,long,10.00,0.1015,0.09,5
64,long,10.00,0.1073,0.09,promedio
64,float,10.00,0.1044,0.05,1
64,float,10.00,0.0629,0.05,2
64,float,10.00,0.0713,0.05,3
64,float,10.00,0.0701,0.05,4
64,float,10.00,0.0715,0.05,5
64,float,10.00,0.0760,0.05,promedio
64,double,10.00,0.1108,0.09,1
64,double,10.00,0.0856,0.09,2
64,double,10.00,0.0840,0.09,3
64,double,10.00,0.0840,0.09,4
64,double,10.00,0.0856,0.09,5
64,double,10.00,0.0900,0.09,promedio
64,short,50.00,0.0803,0.02,1
64,short,50.00,0.0755,0.02,2
64,short,50.00,0.0758,0.02,3
64,short,50.00,0.0754,0.02,4
64,short,50.00,0.0747,0.02,5
64,short,50.00,0.0763,0.02,promedio
64,long,50.00,0.1004,0.09,1
64,long,50.00,0.1007,0.09,2
64,long,50.00,0.1475,0.09,3
64,long,50.00,0.1331,0.09,4
64,long,50.00,0.1090,0.09,5
64,long,50.00,0.1181,0.09,promedio
64,float,50.00,0.0717,0.05,1
64,float,50.00,0.0704,0.05,2
64,float,50.00,0.1146,0.05,3
64,float,50.00,0.0715,0.05,4
64,float,50.00,0.0804,0.05,5
64,float,50.00,0.0817,0.05,promedio
64,double,50.00,0.0858,0.09,1
64,double,50.00,0.0845,0.09,2
64,double,50.00,0.0858,0.09,3
64,double,50.00,0.0859,0.09,4
64,double,50.00,0.0855,0.09,5
64,double,50.00,0.0855,0.09,promedio
64,short,100.00,0.0758,0.02,1
64,short,100.00,0.0758,0.02,2
64,short,100.00,0.0758,0.02,3
64,short,100.00,0.0758,0.02,4
64,short,100.00,0.0742,0.02,5
64,short,100.00,0.0755,0.02,promedio
64,long,100.00,0.1106,0.09,1
64,long,100.00,0.1008,0.09,2
64,long,100.00,0.1010,0.09,3
64,long,100.00,0.1008,0.09,4
64,long,100.00,0.1016,0.09,5
64,long,100.00,0.1029,0.09,promedio
64,float,100.00,0.0795,0.05,1
64,float,100.00,0.0712,0.05,2
64,float,100.00,0.0703,0.05,3
64,float,100.00,0.0704,0.05,4
64,float,100.00,0.0701,0.05,5
64,float,100.00,0.0723,0.05,promedio
64,double,100.00,0.0860,0.09,1
64,double,100.00,0.0846,0.09,2
64,double,100.00,0.0860,0.09,3
64,double,100.00,0.0856,0.09,4
64,double,100.00,0.0860,0.09,5
64,double,100.00,0.0857,0.09,promedio
128,short,10.00,0.4469,0.09,1
128,short,10.00,0.1274,0.09,2
128,short,10.00,0.2494,0.09,3
128,short,10.00,0.1788,0.09,4
128,short,10.00,0.1905,0.09,5
128,short,10.00,0.2386,0.09,promedio
128,long,10.00,0.2686,0.38,1
128,long,10.00,0.1820,0.38,2
128,long,10.00,0.1908,0.38,3
128,long,10.00,0.2296,0.38,4
128,long,10.00,0.1907,0.38,5
128,long,10.00,0.2123,0.38,promedio
128,float,10.00,0.2212,0.19,1
128,float,10.00,0.1167,0.19,2
128,float,10.00,0.1208,0.19,3
128,float,10.00,0.1208,0.19,4
128,float,10.00,0.1206,0.19,5
128,float,10.00,0.1400,0.19,promedio
128,double,10.00,0.2417,0.38,1
128,double,10.00,0.1516,0.38,2
128,double,10.00,0.1625,0.38,3
128,double,10.00,0.1628,0.38,4
128,double,10.00,0.1605,0.38,5
128,double,10.00,0.1758,0.38,promedio
128,short,50.00,0.2697,0.09,1
128,short,50.00,0.1895,0.09,2
128,short,50.00,0.1923,0.09,3
128,short,50.00,0.1313,0.09,4
128,short,50.00,0.1843,0.09,5
128,short,50.00,0.1934,0.09,promedio
128,long,50.00,0.1819,0.38,1
128,long,50.00,0.1822,0.38,2
128,long,50.00,0.1941,0.38,3
128,long,50.00,0.1934,0.38,4
128,long,50.00,0.1925,0.38,5
128,long,50.00,0.1888,0.38,promedio
128,float,50.00,0.1255,0.19,1
128,float,50.00,0.1212,0.19,2
128,float,50.00,0.1220,0.19,3
128,float,50.00,0.1330,0.19,4
128,float,50.00,0.1208,0.19,5
128,float,50.00,0.1245,0.19,promedio
128,double,50.00,0.1618,0.38,1
128,double,50.00,0.1518,0.38,2
128,double,50.00,0.1636,0.38,3
128,double,50.00,0.1636,0.38,4
128,double,50.00,0.1618,0.38,5
128,double,50.00,0.1605,0.38,promedio
128,short,100.00,0.1353,0.09,1
128,short,100.00,0.1445,0.09,2
128,short,100.00,0.1413,0.09,3
128,short,100.00,0.1404,0.09,4
128,short,100.00,0.1394,0.09,5
128,short,100.00,0.1402,0.09,promedio
128,long,100.00,0.1823,0.38,1
128,long,100.00,0.1828,0.38,2
128,long,100.00,0.1929,0.38,3
128,long,100.00,0.1922,0.38,4
128,long,100.00,0.1931,0.38,5
128,long,100.00,0.1887,0.38,promedio
128,float,100.00,0.1377,0.19,1
128,float,100.00,0.1299,0.19,2
128,float,100.00,0.1323,0.19,3
128,float,100.00,0.1220,0.19,4
128,float,100.00,0.1221,0.19,5
128,float,100.00,0.1288,0.19,promedio
128,double,100.00,0.1532,0.38,1
128,double,100.00,0.1668,0.38,2
128,double,100.00,0.1617,0.38,3
128,double,100.00,0.1535,0.38,4
128,double,100.00,0.1638,0.38,5
128,double,100.00,0.1598,0.38,promedio
256,short,10.00,0.5427,0.38,1
256,short,10.00,0.2363,0.38,2
256,short,10.00,0.2403,0.38,3
256,short,10.00,0.2396,0.38,4
256,short,10.00,0.2534,0.38,5
256,short,10.00,0.3025,0.38,promedio
256,long,10.00,0.5155,1.50,1
256,long,10.00,0.3418,1.50,2
256,long,10.00,0.4052,1.50,3
256,long,10.00,0.3390,1.50,4
256,long,10.00,0.3381,1.50,5
256,long,10.00,0.3879,1.50,promedio
256,float,10.00,0.2763,0.75,1
256,float,10.00,0.2191,0.75,2
256,float,10.00,0.2190,0.75,3
256,float,10.00,0.3356,0.75,4
256,float,10.00,0.2191,0.75,5
256,float,10.00,0.2538,0.75,promedio
256,double,10.00,0.3625,1.50,1
256,double,10.00,0.2825,1.50,2
256,double,10.00,0.2826,1.50,3
256,double,10.00,0.2826,1.50,4
256,double,10.00,0.2826,1.50,5
256,double,10.00,0.2986,1.50,promedio
256,short,50.00,0.2458,0.38,1
256,short,50.00,0.2402,0.38,2
256,short,50.00,0.2399,0.38,3
256,short,50.00,0.2405,0.38,4
256,short,50.00,0.2410,0.38,5
256,short,50.00,0.2415,0.38,promedio
256,long,50.00,0.3404,1.50,1
256,long,50.00,0.3546,1.50,2
256,long,50.00,0.3420,1.50,3
256,long,50.00,0.3418,1.50,4
256,long,50.00,0.3786,1.50,5
256,long,50.00,0.3515,1.50,promedio
256,float,50.00,0.2232,0.75,1
256,float,50.00,0.2751,0.75,2
256,float,50.00,0.2345,0.75,3
256,float,50.00,0.2621,0.75,4
256,float,50.00,0.2204,0.75,5
256,float,50.00,0.2431,0.75,promedio
256,double,50.00,0.2845,1.50,1
256,double,50.00,0.2837,1.50,2
256,double,50.00,0.2828,1.50,3
256,double,50.00,0.2832,1.50,4
256,double,50.00,0.2847,1.50,5
256,double,50.00,0.2838,1.50,promedio
256,short,100.00,0.2563,0.38,1
256,short,100.00,0.2420,0.38,2
256,short,100.00,0.2419,0.38,3
256,short,100.00,0.2432,0.38,4
256,short,100.00,0.2420,0.38,5
256,short,100.00,0.2451,0.38,promedio
256,long,100.00,0.3610,1.50,1
256,long,100.00,0.3531,1.50,2
256,long,100.00,0.3543,1.50,3
256,long,100.00,0.3528,1.50,4
256,long,100.00,0.3548,1.50,5
256,long,100.00,0.3552,1.50,promedio
256,float,100.00,0.2354,0.75,1
256,float,100.00,0.2217,0.75,2
256,float,100.00,0.2217,0.75,3
256,float,100.00,0.2215,0.75,4
256,float,100.00,0.2407,0.75,5
256,float,100.00,0.2282,0.75,promedio
256,double,100.00,0.2929,1.50,1
256,double,100.00,0.2847,1.50,2
256,double,100.00,0.2849,1.50,3
256,double,100.00,0.2858,1.50,4
256,double,100.00,0.2852,1.50,5
256,double,100.00,0.2867,1.50,promedio
512,short,10.00,0.8899,1.50,1
512,short,10.00,0.4596,1.50,2
512,short,10.00,0.4603,1.50,3
512,short,10.00,0.4603,1.50,4
512,short,10.00,0.4592,1.50,5
512,short,10.00,0.5459,1.50,promedio
512,long,10.00,0.7333,6.00,1
512,long,10.00,0.6634,6.00,2
512,long,10.00,0.6631,6.00,3
512,long,10.00,0.6615,6.00,4
512,long,10.00,0.6629,6.00,5
512,long,10.00,0.6768,6.00,promedio
512,float,10.00,0.4572,3.00,1
512,float,10.00,0.4157,3.00,2
512,float,10.00,0.4157,3.00,3
512,float,10.00,0.4171,3.00,4
512,float,10.00,0.4156,3.00,5
512,float,10.00,0.4243,3.00,promedio
512,double,10.00,0.9059,6.00,1
512,double,10.00,0.5427,6.00,2
512,double,10.00,0.8559,6.00,3
512,double,10.00,0.5430,6.00,4
512,double,10.00,0.5960,6.00,5
512,double,10.00,0.6887,6.00,promedio
512,short,50.00,0.4974,1.50,1
512,short,50.00,0.4608,1.50,2
512,short,50.00,0.4608,1.50,3
512,short,50.00,0.4608,1.50,4
512,short,50.00,0.4608,1.50,5
512,short,50.00,0.4681,1.50,promedio
512,long,50.00,1.0803,6.00,1
512,long,50.00,0.7393,6.00,2
512,long,50.00,0.6594,6.00,3
512,long,50.00,0.6799,6.00,4
512,long,50.00,0.6817,6.00,5
512,long,50.00,0.7681,6.00,promedio
512,float,50.00,0.4157,3.00,1
512,float,50.00,0.4157,3.00,2
512,float,50.00,0.4157,3.00,3
512,float,50.00,0.4198,3.00,4
512,float,50.00,0.4318,3.00,5
512,float,50.00,0.4198,3.00,promedio
512,double,50.00,0.5530,6.00,1
512,double,50.00,0.5449,6.00,2
512,double,50.00,0.5347,6.00,3
512,double,50.00,0.5448,6.00,4
512,double,50.00,0.5451,6.00,5
512,double,50.00,0.5445,6.00,promedio
512,short,100.00,0.4671,1.50,1
512,short,100.00,0.4544,1.50,2
512,short,100.00,0.4756,1.50,3
512,short,100.00,0.4639,1.50,4
512,short,100.00,0.4628,1.50,5
512,short,100.00,0.4648,1.50,promedio
512,long,100.00,0.6713,6.00,1
512,long,100.00,0.6690,6.00,2
512,long,100.00,0.6632,6.00,3
512,long,100.00,0.6798,6.00,4
512,long,100.00,0.6619,6.00,5
