Size,DataType,Time(s),Memory(MB),Repetition
64,short,0.016000,4.14,1
64,short,0.023000,4.15,2
64,short,0.014000,4.15,3
64,short,0.014000,4.15,4
64,short,0.000000,4.15,5
64,short,0.013400,4.15,promedio
64,long,0.008000,4.17,1
64,long,0.016000,4.22,2
64,long,0.016000,4.20,3
64,long,0.015000,4.20,4
64,long,0.016000,4.20,5
64,long,0.014200,4.20,promedio
64,float,0.006000,4.18,1
64,float,0.015000,4.23,2
64,float,0.016000,4.23,3
64,float,0.016000,4.23,4
64,float,0.015000,4.21,5
64,float,0.013600,4.21,promedio
64,double,0.007000,4.25,1
64,double,0.016000,4.24,2
64,double,0.016000,4.24,3
64,double,0.015000,4.24,4
64,double,0.002000,4.24,5
64,double,0.011200,4.24,promedio
128,short,0.044000,4.27,1
128,short,0.023000,4.27,2
128,short,0.033000,4.27,3
128,short,0.033000,4.28,4
128,short,0.018000,4.28,5
128,short,0.030200,4.27,promedio
128,float,0.032000,4.44,1
128,float,0.031000,4.44,2
128,float,0.031000,4.44,3
128,float,0.032000,4.44,4
128,float,0.031000,4.44,5
128,float,0.031400,4.44,promedio
128,long,0.032000,4.45,1
128,long,0.021000,4.44,2
128,long,0.031000,4.43,3
128,long,0.032000,4.43,4
128,long,0.031000,4.43,5
128,long,0.029400,4.44,promedio
128,double,0.030000,4.70,1
128,double,0.031000,4.58,2
128,double,0.040000,4.71,3
128,double,0.023000,4.71,4
128,double,0.031000,4.71,5
128,double,0.031000,4.68,promedio
256,short,0.117000,4.57,1
256,short,0.117000,4.75,2
256,short,0.117000,4.73,3
256,short,0.133000,4.73,4
256,short,0.117000,4.73,5
256,short,0.120200,4.70,promedio
256,long,0.104000,5.24,1
256,long,0.100000,5.24,2
256,long,0.110000,5.28,3
256,long,0.105000,5.28,4
256,long,0.094000,5.28,5
256,long,0.102600,5.26,promedio
256,float,0.094000,5.24,1
256,float,0.098000,5.25,2
256,float,0.110000,5.30,3
256,float,0.094000,5.31,4
256,float,0.100000,5.31,5
256,float,0.099200,5.28,promedio
256,double,0.079000,5.79,1
256,double,0.078000,6.05,2
256,double,0.068000,5.79,3
256,double,0.075000,5.84,4
256,double,0.078000,5.84,5
256,double,0.075600,5.86,promedio
512,short,0.616000,6.09,1
512,short,0.628000,6.12,2
512,short,0.684000,6.08,3
512,short,0.708000,6.08,4
512,short,0.691000,6.08,5
512,short,0.665400,6.09,promedio
512,long,0.295000,7.34,1
512,long,0.315000,7.35,2
512,long,0.324000,7.38,3
512,long,0.328000,7.38,4
512,long,0.321000,7.38,5
512,long,0.316600,7.37,promedio
512,float,0.314000,7.37,1
512,float,0.330000,7.39,2
512,float,0.315000,7.41,3
512,float,0.318000,7.41,4
512,float,0.319000,7.40,5
512,float,0.319200,7.40,promedio
512,double,0.342000,10.64,1
512,double,0.342000,10.51,2
512,double,0.346000,10.52,3
512,double,0.346000,10.55,4
512,double,0.339000,10.81,5
512,double,0.343000,10.61,promedio
1024,short,2.115000,11.04,1
1024,short,2.118000,10.77,2
1024,short,2.116000,10.80,3
1024,short,2.119000,10.80,4
1024,short,2.085000,10.82,5
1024,short,2.110600,10.84,promedio
1024,long,2.573000,17.25,1
1024,long,2.623000,16.77,2
1024,long,2.622000,17.31,3
1024,long,2.637000,16.83,4
1024,long,2.632000,16.84,5
1024,long,2.617400,17.00,promedio
1024,float,2.744000,16.80,1
1024,float,2.650000,16.80,2
1024,float,2.618000,17.12,3
1024,float,2.614000,17.66,4
1024,float,2.603000,17.41,5
1024,float,2.645800,17.16,promedio
1024,double,3.462000,29.34,1
1024,double,3.532000,29.73,2
1024,double,3.494000,30.68,3
1024,double,3.494000,30.28,4
1024,double,3.530000,31.51,5
1024,double,3.502400,30.31,promedio
2048,short,20.657000,29.18,1
2048,short,20.557000,29.75,2
2048,short,20.557000,29.50,3
2048,short,20.618000,30.55,4
2048,short,20.588000,30.57,5
2048,short,20.595400,29.91,promedio
2048,long,22.692000,54.51,1
2048,long,22.636000,55.15,2
2048,long,22.687000,55.20,3
2048,long,23.422000,55.28,4
2048,long,24.508000,57.38,5
2048,long,23.189000,55.50,promedio
2048,float,22.769000,55.13,1
2048,float,22.824000,55.17,2
2048,float,22.736000,55.23,3
2048,float,22.698000,55.79,4
2048,float,22.836000,58.35,5
2048,float,22.772600,55.93,promedio
2048,double,39.356000,117.79,1
2048,double,39.069000,136.22,2
2048,double,39.498000,136.55,3
2048,double,39.357000,135.93,4
2048,double,39.177000,136.35,5
2048,double,39.291400,132.57,promedio
4096,short,170.732000,116.52,1
4096,short,164.203000,135.90,2
4096,short,166.833000,135.95,3
4096,short,163.410000,135.22,4
4096,short,163.023000,135.50,5
4096,short,165.640200,131.82,promedio
4096,long,274.905000,229.14,1
4096,long,291.344000,265.72,2
4096,long,298.532000,266.01,3
4096,long,290.900000,266.85,4
4096,long,287.548000,267.40,5
4096,long,288.645800,259.02,promedio
4096,float,280.741000,229.16,1
4096,float,293.550000,266.55,2
4096,float,285.480000,267.07,3
4096,float,288.890000,266.64,4
4096,float,282.736000,266.66,5
4096,float,286.279400,259.22,promedio
4096,double,257.843000,392.41,1
4096,double,257.455000,393.41,2
4096,double,258.097000,394.75,3
4096,double,260.794000,394.44,4
4096,double,261.073000,392.55,5
4096,double,259.052400,393.51,promedio
8192,short,3562.284000,402.41,1
8192,short,3562.284000,402.41,promedio
8192,long,1740.846000,776.46,1
8192,long,1740.846000,776.46,promedio
8192,float,1727.332000,776.45,1
8192,float,1727.332000,776.45,promedio
8192,double,2664.833000,1548.19,1
8192,double,2664.833000,1548.19,promedio
16384,short,25463.091000,522.71,1
16384,long,28077.071000,1041.75,1
16384,float,27670.867000,1119.15,1
16384,double,36427.865000,3377.20,1

