Size,DataType,ThreadPercentage,Time(s),Memory(MB),Repetition
64,short,10,0.0136,0.0234,1
64,short,10.0000,0.0511,0.0234,2
64,short,10.0000,0.0215,0.0234,3
64,short,10.0000,0.0116,0.0234,4
64,short,10.0000,0.0651,0.0234,5
64,short,10.0000,0.0326,0.0234,avg
64,long,10.0000,0.0143,0.0938,1
64,long,10.0000,0.0135,0.0938,2
64,long,10.0000,0.0223,0.0938,3
64,long,10.0000,0.0223,0.0938,4
64,long,10.0000,0.0226,0.0938,5
64,long,10.0000,0.0190,0.0938,avg
64,float,10.0000,0.0123,0.0469,1
64,float,10.0000,0.0123,0.0469,2
64,float,10.0000,0.0219,0.0469,3
64,float,10.0000,0.0223,0.0469,4
64,float,10.0000,0.0210,0.0469,5
64,float,10.0000,0.0180,0.0469,avg
64,double,10.0000,0.0312,0.0938,1
64,double,10.0000,0.0308,0.0938,2
64,double,10.0000,0.0404,0.0938,3
64,double,10.0000,0.0307,0.0938,4
64,double,10.0000,0.0406,0.0938,5
64,double,10.0000,0.0347,0.0938,avg
64,short,50.0000,0.0123,0.0234,1
64,short,50.0000,0.0410,0.0234,2
64,short,50.0000,0.0327,0.0234,3
64,short,50.0000,0.0433,0.0234,4
64,short,50.0000,0.0212,0.0234,5
64,short,50.0000,0.0301,0.0234,avg
64,long,50.0000,0.0143,0.0938,1
64,long,50.0000,0.0225,0.0938,2
64,long,50.0000,0.0136,0.0938,3
64,long,50.0000,0.0223,0.0938,4
64,long,50.0000,0.0129,0.0938,5
64,long,50.0000,0.0171,0.0938,avg
64,float,50.0000,0.0123,0.0469,1
64,float,50.0000,0.0122,0.0469,2
64,float,50.0000,0.0213,0.0469,3
64,float,50.0000,0.0210,0.0469,4
64,float,50.0000,0.0213,0.0469,5
64,float,50.0000,0.0176,0.0469,avg
64,double,50.0000,0.0312,0.0938,1
64,double,50.0000,0.0409,0.0938,2
64,double,50.0000,0.0396,0.0938,3
64,double,50.0000,0.0404,0.0938,4
64,double,50.0000,0.0408,0.0938,5
64,double,50.0000,0.0386,0.0938,avg
64,short,100.0000,0.0118,0.0234,1
64,short,100.0000,0.0109,0.0234,2
64,short,100.0000,0.0212,0.0234,3
64,short,100.0000,0.0118,0.0234,4
64,short,100.0000,0.0537,0.0234,5
64,short,100.0000,0.0219,0.0234,avg
64,long,100.0000,0.0140,0.0938,1
64,long,100.0000,0.0130,0.0938,2
64,long,100.0000,0.0225,0.0938,3
64,long,100.0000,0.0224,0.0938,4
64,long,100.0000,0.0225,0.0938,5
64,long,100.0000,0.0189,0.0938,avg
64,float,100.0000,0.0123,0.0469,1
64,float,100.0000,0.0559,0.0469,2
64,float,100.0000,0.0329,0.0469,3
64,float,100.0000,0.0217,0.0469,4
64,float,100.0000,0.0222,0.0469,5
64,float,100.0000,0.0290,0.0469,avg
64,double,100.0000,0.0309,0.0938,1
64,double,100.0000,0.0310,0.0938,2
64,double,100.0000,0.0399,0.0938,3
64,double,100.0000,0.0410,0.0938,4
64,double,100.0000,0.0307,0.0938,5
64,double,100.0000,0.0347,0.0938,avg
128,short,10.0000,0.0184,0.0938,1
128,short,10.0000,0.0184,0.0938,2
128,short,10.0000,0.0287,0.0938,3
128,short,10.0000,0.0281,0.0938,4
128,short,10.0000,0.0186,0.0938,5
128,short,10.0000,0.0225,0.0938,avg
128,long,10.0000,0.0205,0.3750,1
128,long,10.0000,0.0295,0.3750,2
128,long,10.0000,0.0199,0.3750,3
128,long,10.0000,0.0201,0.3750,4
128,long,10.0000,0.0206,0.3750,5
128,long,10.0000,0.0221,0.3750,avg
128,float,10.0000,0.0185,0.1875,1
128,float,10.0000,0.0275,0.1875,2
128,float,10.0000,0.0287,0.1875,3
128,float,10.0000,0.0394,0.1875,4
128,float,10.0000,0.0283,0.1875,5
128,float,10.0000,0.0285,0.1875,avg
128,double,10.0000,0.0571,0.3750,1
128,double,10.0000,0.0656,0.3750,2
128,double,10.0000,0.0556,0.3750,3
128,double,10.0000,0.0656,0.3750,4
128,double,10.0000,0.0572,0.3750,5
128,double,10.0000,0.0602,0.3750,avg
128,short,50.0000,0.0190,0.0938,1
128,short,50.0000,0.0184,0.0938,2
128,short,50.0000,0.0280,0.0938,3
128,short,50.0000,0.0275,0.0938,4
128,short,50.0000,0.0612,0.0938,5
128,short,50.0000,0.0308,0.0938,avg
128,long,50.0000,0.0220,0.3750,1
128,long,50.0000,0.0289,0.3750,2
128,long,50.0000,0.0600,0.3750,3
128,long,50.0000,0.0202,0.3750,4
128,long,50.0000,0.0302,0.3750,5
128,long,50.0000,0.0322,0.3750,avg
128,float,50.0000,0.0190,0.1875,1
128,float,50.0000,0.0724,0.1875,2
128,float,50.0000,0.0287,0.1875,3
128,float,50.0000,0.0284,0.1875,4
128,float,50.0000,0.0688,0.1875,5
128,float,50.0000,0.0435,0.1875,avg
128,double,50.0000,0.0569,0.3750,1
128,double,50.0000,0.0661,0.3750,2
128,double,50.0000,0.0658,0.3750,3
128,double,50.0000,0.0573,0.3750,4
128,double,50.0000,0.0563,0.3750,5
128,double,50.0000,0.0605,0.3750,avg
128,short,100.0000,0.0204,0.0938,1
128,short,100.0000,0.0192,0.0938,2
128,short,100.0000,0.0290,0.0938,3
128,short,100.0000,0.0287,0.0938,4
128,short,100.0000,0.0197,0.0938,5
128,short,100.0000,0.0234,0.0938,avg
128,long,100.0000,0.0308,0.3750,1
128,long,100.0000,0.0305,0.3750,2
128,long,100.0000,0.0393,0.3750,3
128,long,100.0000,0.0627,0.3750,4
128,long,100.0000,0.0302,0.3750,5
128,long,100.0000,0.0387,0.3750,avg
128,float,100.0000,0.0194,0.1875,1
128,float,100.0000,0.0203,0.1875,2
128,float,100.0000,0.0191,0.1875,3
128,float,100.0000,0.0285,0.1875,4
128,float,100.0000,0.0289,0.1875,5
128,float,100.0000,0.0232,0.1875,avg
128,double,100.0000,0.0573,0.3750,1
128,double,100.0000,0.0656,0.3750,2
128,double,100.0000,0.0570,0.3750,3
128,double,100.0000,0.0573,0.3750,4
128,double,100.0000,0.0572,0.3750,5
128,double,100.0000,0.0589,0.3750,avg
256,short,10.0000,0.0316,0.3750,1
256,short,10.0000,0.0411,0.3750,2
256,short,10.0000,0.0410,0.3750,3
256,short,10.0000,0.0796,0.3750,4
256,short,10.0000,0.0321,0.3750,5
256,short,10.0000,0.0451,0.3750,avg
256,long,10.0000,0.0350,1.5000,1
256,long,10.0000,0.0436,1.5000,2
256,long,10.0000,0.0346,1.5000,3
256,long,10.0000,0.0335,1.5000,4
256,long,10.0000,0.0435,1.5000,5
256,long,10.0000,0.0380,1.5000,avg
256,float,10.0000,0.0328,0.7500,1
256,float,10.0000,0.0324,0.7500,2
256,float,10.0000,0.0416,0.7500,3
256,float,10.0000,0.0410,0.7500,4
256,float,10.0000,0.0411,0.7500,5
256,float,10.0000,0.0378,0.7500,avg
256,double,10.0000,0.1083,1.5000,1
256,double,10.0000,0.1073,1.5000,2
256,double,10.0000,0.1167,1.5000,3
256,double,10.0000,0.1069,1.5000,4
256,double,10.0000,0.1077,1.5000,5
256,double,10.0000,0.1094,1.5000,avg
256,short,50.0000,0.0328,0.3750,1
256,short,50.0000,0.0327,0.3750,2
256,short,50.0000,0.0337,0.3750,3
256,short,50.0000,0.0421,0.3750,4
256,short,50.0000,0.0321,0.3750,5
256,short,50.0000,0.0347,0.3750,avg
256,long,50.0000,0.0363,1.5000,1
256,long,50.0000,0.0436,1.5000,2
256,long,50.0000,0.0344,1.5000,3
256,long,50.0000,0.0695,1.5000,4
256,long,50.0000,0.0348,1.5000,5
256,long,50.0000,0.0437,1.5000,avg
256,float,50.0000,0.0328,0.7500,1
256,float,50.0000,0.0419,0.7500,2
256,float,50.0000,0.0328,0.7500,3
256,float,50.0000,0.0428,0.7500,4
256,float,50.0000,0.0326,0.7500,5
256,float,50.0000,0.0366,0.7500,avg
256,double,50.0000,0.1075,1.5000,1
256,double,50.0000,0.1178,1.5000,2
256,double,50.0000,0.1082,1.5000,3
256,double,50.0000,0.1085,1.5000,4
256,double,50.0000,0.1074,1.5000,5
256,double,50.0000,0.1099,1.5000,avg
256,short,100.0000,0.0331,0.3750,1
256,short,100.0000,0.0328,0.3750,2
