Size,DataType,Time(s),Memory(MB),Repetition
64,short,0.001021,3.87,1
64,short,0.000975,3.89,2
64,short,0.001115,3.89,3
64,short,0.001024,3.89,4
64,short,0.001203,3.89,5
64,short,0.001068,3.88,average
64,long,0.000906,3.90,1
64,long,0.001103,3.93,2
64,long,0.001003,3.93,3
64,long,0.000955,3.93,4
64,long,0.000918,3.93,5
64,long,0.000977,3.92,average
64,float,0.000957,3.89,1
64,float,0.000951,3.92,2
64,float,0.000919,3.92,3
64,float,0.000915,3.92,4
64,float,0.000953,3.92,5
64,float,0.000939,3.92,average
64,double,0.000922,3.95,1
64,double,0.001092,3.96,2
64,double,0.000942,3.96,3
64,double,0.001030,3.96,4
64,double,0.000971,3.96,5
64,double,0.000991,3.96,average
128,short,0.008061,3.98,1
128,short,0.009109,3.98,2
128,short,0.009267,3.98,3
128,short,0.008101,3.98,4
128,short,0.007821,3.98,5
128,short,0.008472,3.98,average
128,long,0.007461,4.09,1
128,long,0.009178,4.12,2
128,long,0.008108,4.11,3
128,long,0.007458,4.11,4
128,long,0.007701,4.11,5
128,long,0.007981,4.11,average
128,float,0.007489,4.08,1
128,float,0.007497,4.11,2
128,float,0.007628,4.11,3
128,float,0.007467,4.11,4
128,float,0.007548,4.11,5
128,float,0.007526,4.10,average
128,double,0.007627,4.30,1
128,double,0.008229,4.29,2
128,double,0.007730,4.29,3
128,double,0.007806,4.28,4
128,double,0.007777,4.29,5
128,double,0.007834,4.29,average
256,short,0.067000,4.29,1
256,short,0.063890,4.35,2
256,short,0.065256,4.35,3
256,short,0.064338,4.35,4
256,short,0.064300,4.34,5
256,short,0.064957,4.34,average
256,long,0.064472,4.72,1
256,long,0.062832,4.72,2
256,long,0.063219,4.71,3
256,long,0.063433,4.74,4
256,long,0.062885,4.71,5
256,long,0.063368,4.72,average
256,float,0.063082,4.71,1
256,float,0.062029,4.71,2
256,float,0.062052,4.70,3
256,float,0.064500,4.73,4
256,float,0.063112,4.70,5
256,float,0.062955,4.71,average
256,double,0.072632,5.49,1
256,double,0.072183,5.47,2
256,double,0.071997,5.54,3
256,double,0.075019,5.46,4
256,double,0.072185,5.46,5
256,double,0.072803,5.48,average
512,short,0.639711,5.48,1
512,short,0.586735,5.73,2
512,short,0.570303,5.73,3
512,short,0.563797,5.80,4
512,short,0.584655,5.73,5
512,short,0.589040,5.70,average
512,long,0.578208,7.20,1
512,long,0.583569,7.07,2
512,long,0.588058,7.07,3
512,long,0.583627,7.08,4
512,long,0.663410,7.08,5
512,long,0.599374,7.10,average
512,float,0.569050,7.20,1
512,float,0.568557,7.06,2
512,float,0.562970,7.07,3
512,float,0.573626,7.07,4
512,float,0.564886,7.07,5
512,float,0.567818,7.09,average
512,double,0.733275,10.25,1
512,double,0.726099,10.23,2
512,double,0.770686,10.25,3
512,double,0.740182,10.23,4
512,double,0.721732,10.23,5
512,double,0.738395,10.24,average
1024,short,4.797891,10.40,1
1024,short,4.758405,10.42,2
1024,short,4.755626,10.43,3
1024,short,4.787864,10.43,4
1024,short,4.896471,10.43,5
1024,short,4.799251,10.42,average
1024,long,6.790293,16.67,1
1024,long,6.386450,16.64,2
1024,long,6.314527,16.66,3
