Size,DataType,ThreadPercentage,Time(s),Memory(MB),Repetition
64,short,10,0.0511,0.02,1
64,short,10,0.0434,0.02,2
64,short,10,0.0445,0.02,3
64,short,10,0.0433,0.02,4
64,short,10,0.0442,0.02,5
64,short,10,0.0453,0.02,promedio
64,long,10,0.0604,0.09,1
64,long,10,0.058,0.09,2
64,long,10,0.0523,0.09,3
64,long,10,0.054,0.09,4
64,long,10,0.0547,0.09,5
64,long,10,0.0559,0.09,promedio
64,float,10,0.0554,0.05,1
64,float,10,0.0447,0.05,2
64,float,10,0.0424,0.05,3
64,float,10,0.0453,0.05,4
64,float,10,0.0439,0.05,5
64,float,10,0.0464,0.05,promedio
64,double,10,0.0628,0.09,1
64,double,10,0.0507,0.09,2
64,double,10,0.051,0.09,3
64,double,10,0.0581,0.09,4
64,double,10,0.0711,0.09,5
64,double,10,0.0587,0.09,promedio
64,short,50,0.0451,0.02,1
64,short,50,0.0427,0.02,2
64,short,50,0.0438,0.02,3
64,short,50,0.0444,0.02,4
64,short,50,0.043,0.02,5
64,short,50,0.0438,0.02,promedio
64,long,50,0.0563,0.09,1
64,long,50,0.0553,0.09,2
64,long,50,0.0527,0.09,3
64,long,50,0.0549,0.09,4
64,long,50,0.0652,0.09,5
64,long,50,0.0569,0.09,promedio
64,float,50,0.0553,0.05,1
64,float,50,0.0436,0.05,2
64,float,50,0.0433,0.05,3
64,float,50,0.0447,0.05,4
64,float,50,0.0418,0.05,5
64,float,50,0.0458,0.05,promedio
64,double,50,0.0605,0.09,1
64,double,50,0.0506,0.09,2
64,double,50,0.0506,0.09,3
64,double,50,0.0496,0.09,4
64,double,50,0.0517,0.09,5
64,double,50,0.0526,0.09,promedio
64,short,100,0.0534,0.02,1
64,short,100,0.0763,0.02,2
64,short,100,0.073,0.02,3
64,short,100,0.0666,0.02,4
64,short,100,0.0628,0.02,5
64,short,100,0.0664,0.02,promedio
64,long,100,0.0832,0.09,1
64,long,100,0.0784,0.09,2
64,long,100,0.068,0.09,3
64,long,100,0.0666,0.09,4
64,long,100,0.0704,0.09,5
64,long,100,0.0733,0.09,promedio
64,float,100,0.0588,0.05,1
64,float,100,0.0506,0.05,2
64,float,100,0.0531,0.05,3
64,float,100,0.0917,0.05,4
64,float,100,0.0597,0.05,5
64,float,100,0.0628,0.05,promedio
64,double,100,0.0662,0.09,1
64,double,100,0.0637,0.09,2
64,double,100,0.0641,0.09,3
64,double,100,0.0639,0.09,4
64,double,100,0.0653,0.09,5
64,double,100,0.0646,0.09,promedio
128,short,10,0.0602,0.09,1
128,short,10,0.0492,0.09,2
128,short,10,0.0526,0.09,3
128,short,10,0.051,0.09,4
128,short,10,0.0522,0.09,5
128,short,10,0.053,0.09,promedio
128,long,10,0.043,0.38,1
128,long,10,0.0369,0.38,2
128,long,10,0.0369,0.38,3
128,long,10,0.0369,0.38,4
128,long,10,0.0369,0.38,5
128,long,10,0.0381,0.38,promedio
128,float,10,0.0569,0.19,1
128,float,10,0.0544,0.19,2
128,float,10,0.0496,0.19,3
128,float,10,0.0513,0.19,4
128,float,10,0.0516,0.19,5
128,float,10,0.0528,0.19,promedio
128,double,10,0.0369,0.38,1
128,double,10,0.0317,0.38,2
128,double,10,0.0317,0.38,3
128,double,10,0.0317,0.38,4
128,double,10,0.0317,0.38,5
128,double,10,0.0328,0.38,promedio
128,short,50,0.0529,0.09,1
128,short,50,0.0486,0.09,2
128,short,50,0.051,0.09,3
128,short,50,0.0513,0.09,4
128,short,50,0.0514,0.09,5
128,short,50,0.051,0.09,promedio
128,long,50,0.0369,0.38,1
128,long,50,0.0369,0.38,2
128,long,50,0.0369,0.38,3
128,long,50,0.0369,0.38,4
128,long,50,0.0369,0.38,5
128,long,50,0.0369,0.38,promedio
128,float,50,0.0647,0.19,1
128,float,50,0.0503,0.19,2
128,float,50,0.0494,0.19,3
128,float,50,0.0498,0.19,4
128,float,50,0.1409,0.19,5
128,float,50,0.071,0.19,promedio
128,double,50,0.0328,0.38,1
128,double,50,0.0317,0.38,2
128,double,50,0.0307,0.38,3
128,double,50,0.0317,0.38,4
128,double,50,0.0328,0.38,5
128,double,50,0.0319,0.38,promedio
128,short,100,0.0822,0.09,1
128,short,100,0.0684,0.09,2
128,short,100,0.0648,0.09,3
128,short,100,0.0692,0.09,4
128,short,100,0.0634,0.09,5
128,short,100,0.0696,0.09,promedio
128,long,100,0.0584,0.38,1
128,long,100,0.0584,0.38,2
128,long,100,0.0594,0.38,3
128,long,100,0.0594,0.38,4
128,long,100,0.0584,0.38,5
128,long,100,0.0588,0.38,promedio
128,float,100,0.0739,0.19,1
128,float,100,0.0642,0.19,2
128,float,100,0.064,0.19,3
128,float,100,0.0629,0.19,4
128,float,100,0.0642,0.19,5
128,float,100,0.0658,0.19,promedio
128,double,100,0.0584,0.38,1
128,double,100,0.0584,0.38,2
128,double,100,0.0584,0.38,3
128,double,100,0.0584,0.38,4
128,double,100,0.0584,0.38,5
128,double,100,0.0584,0.38,promedio
256,short,10,0.0358,0.38,1
256,short,10,0.0317,0.38,2
256,short,10,0.0317,0.38,3
256,short,10,0.0317,0.38,4
256,short,10,0.0317,0.38,5
256,short,10,0.0326,0.38,promedio
256,long,10,0.0768,1.5,1
256,long,10,0.0727,1.5,2
256,long,10,0.0727,1.5,3
256,long,10,0.0717,1.5,4
256,long,10,0.0727,1.5,5
256,long,10,0.0733,1.5,promedio
256,float,10,0.0378,0.75,1
256,float,10,0.0317,0.75,2
256,float,10,0.0317,0.75,3
256,float,10,0.0317,0.75,4
256,float,10,0.0317,0.75,5
256,float,10,0.033,0.75,promedio
256,double,10,0.0768,1.5,1
256,double,10,0.0584,1.5,2
256,double,10,0.0584,1.5,3
256,double,10,0.0604,1.5,4
256,double,10,0.0584,1.5,5
256,double,10,0.0625,1.5,promedio
256,short,50,0.0481,0.38,1
256,short,50,0.0317,0.38,2
256,short,50,0.0317,0.38,3
256,short,50,0.0317,0.38,4
256,short,50,0.0317,0.38,5
256,short,50,0.035,0.38,promedio
256,long,50,0.0717,1.5,1
256,long,50,0.0727,1.5,2
256,long,50,0.0717,1.5,3
256,long,50,0.0727,1.5,4
256,long,50,0.0727,1.5,5
256,long,50,0.0723,1.5,promedio
256,float,50,0.0317,0.75,1
256,float,50,0.0317,0.75,2
256,float,50,0.0317,0.75,3
256,float,50,0.0317,0.75,4
256,float,50,0.0317,0.75,5
256,float,50,0.0317,0.75,promedio
256,double,50,0.0584,1.5,1
256,double,50,0.0594,1.5,2
256,double,50,0.0594,1.5,3
256,double,50,0.0594,1.5,4
256,double,50,0.0594,1.5,5
256,double,50,0.0592,1.5,promedio
256,short,100,0.0584,0.38,1
256,short,100,0.0594,0.38,2
256,short,100,0.0584,0.38,3
256,short,100,0.0584,0.38,4
256,short,100,0.0584,0.38,5
256,short,100,0.0586,0.38,promedio
256,long,100,0.1126,1.5,1
256,long,100,0.1126,1.5,2
256,long,100,0.1137,1.5,3
256,long,100,0.1137,1.5,4
256,long,100,0.1137,1.5,5
256,long,100,0.1133,1.5,promedio
256,float,100,0.0584,0.75,1
256,float,100,0.0584,0.75,2
256,float,100,0.0584,0.75,3
256,float,100,0.0584,0.75,4
256,float,100,0.0594,0.75,5
256,float,100,0.0586,0.75,promedio
256,double,100,0.1106,1.5,1
256,double,100,0.1106,1.5,2
256,double,100,0.1106,1.5,3
256,double,100,0.1106,1.5,4
256,double,100,0.1106,1.5,5
256,double,100,0.1106,1.5,promedio
512,short,10,0.0625,1.5,1
512,short,10,0.0573,1.5,2
512,short,10,0.0584,1.5,3
512,short,10,0.0573,1.5,4
512,short,10,0.0584,1.5,5
512,short,10,0.0588,1.5,promedio
512,long,10,0.1372,6,1
512,long,10,0.1331,6,2
512,long,10,0.1331,6,3
512,long,10,0.1321,6,4
512,long,10,0.1341,6,5
512,long,10,0.1339,6,promedio
512,float,10,0.0625,3,1
512,float,10,0.0584,3,2
512,float,10,0.0584,3,3
512,float,10,0.0584,3,4
512,float,10,0.0584,3,5
512,float,10,0.0592,3,promedio
512,double,10,0.1157,6,1
512,double,10,0.1106,6,2
512,double,10,0.1096,6,3
512,double,10,0.1106,6,4
512,double,10,0.1106,6,5
512,double,10,0.1114,6,promedio
512,short,50,0.0584,1.5,1
512,short,50,0.0584,1.5,2
512,short,50,0.0584,1.5,3
512,short,50,0.0584,1.5,4
512,short,50,0.0584,1.5,5
512,short,50,0.0584,1.5,promedio
512,long,50,0.1333,6,1
512,long,50,0.1321,6,2
512,long,50,0.1485,6,3
512,long,50,0.1331,6,4
512,long,50,0.1475,6,5
512,long,50,0.1389,6,promedio
512,float,50,0.0584,3,1
512,float,50,0.0584,3,2
512,float,50,0.0584,3,3
512,float,50,0.0584,3,4
512,float,50,0.0584,3,5
512,float,50,0.0584,3,promedio
512,double,50,0.1106,6,1
512,double,50,0.1106,6,2
512,double,50,0.1105,6,3
512,double,50,0.1106,6,4
512,double,50,0.1116,6,5
512,double,50,0.1108,6,promedio
512,short,100,0.1135,1.5,1
512,short,100,0.1126,1.5,2
512,short,100,0.1137,1.5,3
512,short,100,0.1137,1.5,4
512,short,100,0.1137,1.5,5
512,short,100,0.1134,1.5,promedio
512,long,100,0.2304,6,1
512,long,100,0.2171,6,2
512,long,100,0.2285,6,3
512,long,100,0.2306,6,4
512,long,100,0.2294,6,5
512,long,100,0.2272,6,promedio
512,float,100,0.1116,3,1
512,float,100,0.1116,3,2
512,float,100,0.1126,3,3
512,float,100,0.1126,3,4
512,float,100,0.1126,3,5
512,float,100,0.1122,3,promedio
512,double,100,0.2273,6,1
512,double,100,0.2273,6,2
512,double,100,0.2263,6,3
512,double,100,0.2272,6,4
512,double,100,0.2273,6,5
512,double,100,0.2271,6,promedio
1024,short,10,0.1147,6,1
1024,short,10,0.1096,6,2
1024,short,10,0.1096,6,3
1024,short,10,0.1096,6,4
1024,short,10,0.1106,6,5
1024,short,10,0.1108,6,promedio
1024,long,10,0.2714,24,1
