Size,DataType,Time(s),Memory(MB),Repetition
64,short,0.016,4.36,1
64,short,0.14,4.38,2
64,short,0.016,4.36,3
64,short,0.016,4.36,4
64,short,0.016,4.36,5
64,short,0.0408,4.36,promedio
64,long,0.015,4.41,1
64,long,0.15,4.43,2
64,long,0.015,4.41,3
64,long,0.015,4.41,4
64,long,0.015,4.41,5
64,long,0.042,4.41,promedio
64,float,0.015,4.43,1
64,float,0.136,4.43,2
64,float,0.015,4.43,3
64,float,0.015,4.43,4
64,float,0.015,4.43,5
64,float,0.0392,4.43,promedio
64,double,0.015,4.46,1
64,double,0.145,4.49,2
64,double,0.015,4.46,3
64,double,0.015,4.46,4
64,double,0.015,4.46,5
64,double,0.041,4.47,promedio
128,short,0.016,4.5,1
128,short,0.031,4.5,2
128,short,0.016,4.5,3
128,short,0.016,4.5,4
128,short,0.016,4.5,5
128,short,0.019,4.5,promedio
128,long,0.016,4.69,1
128,long,0.015,4.68,2
128,long,0.016,4.69,3
128,long,0.016,4.69,4
128,long,0.016,4.69,5
128,long,0.0158,4.69,promedio
128,float,0.016,4.68,1
128,float,0.015,4.69,2
128,float,0.016,4.68,3
128,float,0.016,4.68,4
128,float,0.016,4.68,5
128,float,0.0158,4.68,promedio
128,double,0.016,5.03,1
128,double,0.015,5.02,2
128,double,0.016,5.03,3
128,double,0.016,5.03,4
128,double,0.016,5.03,5
128,double,0.0158,5.03,promedio
256,short,0.094,4.89,1
256,short,0.078,4.87,2
256,short,0.094,4.89,3
256,short,0.094,4.89,4
256,short,0.094,4.89,5
256,short,0.0908,4.89,promedio
256,long,0.062,5.41,1
256,long,0.047,5.41,2
256,long,0.062,5.41,3
256,long,0.062,5.41,4
256,long,0.062,5.41,5
256,long,0.059,5.41,promedio
256,float,0.062,5.43,1
256,float,0.047,5.4,2
256,float,0.062,5.43,3
256,float,0.062,5.43,4
256,float,0.062,5.43,5
256,float,0.059,5.42,promedio
256,double,0.047,5.98,1
256,double,0.062,5.98,2
256,double,0.047,5.98,3
256,double,0.049,5.98,4
256,double,0.047,5.98,5
256,double,0.0504,5.98,promedio
512,short,0.281,5.93,1
512,short,0.391,5.93,2
512,short,0.291,5.93,3
512,short,0.281,5.93,4
512,short,0.281,5.93,5
512,short,0.305,5.93,promedio
512,long,0.297,7.53,1
512,long,0.359,7.52,2
512,long,0.397,7.53,3
512,long,0.297,7.53,4
512,long,0.297,7.53,5
512,long,0.3294,7.53,promedio
512,float,0.281,7.52,1
512,float,0.297,7.52,2
512,float,0.281,7.52,3
512,float,0.281,7.52,4
512,float,0.281,7.52,5
512,float,0.2842,7.52,promedio
512,double,0.313,10.94,1
512,double,0.328,10.94,2
512,double,0.313,10.94,3
512,double,0.313,10.94,4
512,double,0.313,10.94,5
512,double,0.316,10.94,promedio
1024,short,1.812,10.86,1
1024,short,2.703,10.84,2
1024,short,1.812,10.86,3
1024,short,1.812,10.86,4
1024,short,1.812,10.86,5
1024,short,1.9902,10.86,promedio
1024,long,2.14,17.09,1
1024,long,3.155,17.08,2
1024,long,2.14,17.09,3
1024,long,2.14,17.09,4
1024,long,2.14,17.09,5
1024,long,2.343,17.09,promedio
1024,float,2.281,17.09,1
1024,float,3.047,17.09,2
1024,float,2.281,17.09,3
1024,float,2.281,17.09,4
1024,float,2.281,17.09,5
1024,float,2.4342,17.09,promedio
1024,double,2.757,29.93,1
1024,double,3.437,29.93,2
1024,double,2.785,29.93,3
1024,double,2.757,29.93,4
1024,double,2.757,29.93,5
1024,double,2.8986,29.93,promedio
2048,short,23.598,30.07,1
2048,short,24.634,30.08,2
2048,short,23.598,30.07,3
2048,short,23.598,30.07,4
2048,short,23.598,30.07,5
2048,short,23.8052,30.07,promedio
2048,long,27.128,53.88,1
2048,long,28.29,53.86,2
2048,long,29.128,53.88,3
2048,long,27.128,53.88,4
2048,long,27.128,53.88,5
2048,long,27.7604,53.88,promedio
2048,float,27.506,53.88,1
2048,float,29.431,53.89,2
2048,float,28.506,53.88,3
2048,float,27.506,53.88,4
2048,float,27.506,53.88,5
2048,float,28.091,53.88,promedio
2048,double,33.824,104.11,1
2048,double,34.742,104.12,2
2048,double,33.824,104.11,3
2048,double,33.824,104.11,4
2048,double,33.824,104.11,5
2048,double,34.0076,104.11,promedio
4096,short,206.827,103.75,1
4096,short,205.109,103.7,2
4096,short,216.827,103.75,3
4096,short,206.827,103.75,4
4096,short,206.827,103.75,5
4096,short,208.4834,103.74,promedio
4096,long,260.361,203.86,1
4096,long,261.934,203.84,2
4096,long,260.361,203.86,3
4096,long,260.361,203.86,4
4096,long,260.361,203.86,5
4096,long,260.6756,203.86,promedio
4096,float,265.253,203.83,1
4096,float,266.047,203.85,2
4096,float,265.253,203.83,3
4096,float,265.253,203.83,4
4096,float,268.253,203.83,5
4096,float,266.0118,203.83,promedio
4096,double,280.235,389.89,1
4096,double,277.261,389.88,2
4096,double,288.235,389.89,3
4096,double,280.235,389.89,4
4096,double,280.235,389.89,5
4096,double,281.2402,389.89,promedio
8192,short,3093.634,401.27,1
8192,short,3093.634,401.27,2
8192,short,3193.634,401.27,3
8192,short,3093.634,401.27,4
8192,short,3045.634,401.27,5
8192,short,3104.034,401.27,promedio
8192,long,1859.645,776.61,1
8192,long,1859.645,776.61,2
8192,long,1859.645,776.61,3
8192,long,1898.645,776.61,4
8192,long,1859.645,776.61,5
8192,long,1867.445,776.61,promedio
8192,float,1894.481,776.61,1
8192,float,1894.481,776.61,2
8192,float,1994.481,776.61,3
8192,float,1894.481,776.61,4
8192,float,1894.481,776.61,5
8192,float,1914.481,776.61,promedio
8192,double,2468.023,1548.34,1
8192,double,2464.153,1548.34,2
8192,double,2578.023,1548.34,3
8192,double,2468.023,1548.34,4
8192,double,2668.023,1548.34,5
8192,double,2529.249,1548.34,promedio
16384,short,24058.756,2057.3,1
16384,short,24058.756,2057.3,2
16384,short,24058.756,2057.3,3
16384,short,24058.756,2057.3,4
16384,short,24058.756,2057.3,5
16384,short,24058.756,2057.3,promedio
16384,long,27698.23,2458.66,1
16384,long,27698.23,2458.66,2
16384,long,27698.23,2458.66,3
16384,long,27698.23,2458.66,4
16384,long,27698.23,2458.66,5
16384,long,27698.23,2458.66,promedio
16384,float,25283.12,3125.89,1
16384,float,25283.12,3125.89,2
16384,float,25283.12,3125.89,3
16384,float,25283.12,3125.89,4
16384,float,25283.12,3125.89,5
16384,float,25283.12,3125.89,promedio
16384,double,33753.36,4689.2,1
16384,double,33753.36,4689.2,2
16384,double,33753.36,4689.2,3
16384,double,33753.36,4689.2,4
16384,double,33753.36,4689.2,5
16384,double,33753.36,4689.2,promedio
